,Id_Us,CC_As,Id_Exa
0,a69bade4-74f4-11ed-8c78-0242ac1c000c,445006337,8c26b4f4-74f4-11ed-9ddf-0242ac1c000c
1,a69bb186-74f4-11ed-8c78-0242ac1c000c,1773488835,8c26b706-74f4-11ed-9ddf-0242ac1c000c
2,a69bb29e-74f4-11ed-8c78-0242ac1c000c,916661348,8c26b7a6-74f4-11ed-9ddf-0242ac1c000c
3,a69bb384-74f4-11ed-8c78-0242ac1c000c,221233654,8c26b832-74f4-11ed-9ddf-0242ac1c000c
4,a69bb456-74f4-11ed-8c78-0242ac1c000c,285946442,8c26b8b4-74f4-11ed-9ddf-0242ac1c000c
5,a69bb532-74f4-11ed-8c78-0242ac1c000c,2467225654,8c26b92c-74f4-11ed-9ddf-0242ac1c000c
6,a69bb60e-74f4-11ed-8c78-0242ac1c000c,2402181943,8c26b9ae-74f4-11ed-9ddf-0242ac1c000c
7,a69bb6cc-74f4-11ed-8c78-0242ac1c000c,1679675850,8c26bb70-74f4-11ed-9ddf-0242ac1c000c
8,a69bb78a-74f4-11ed-8c78-0242ac1c000c,2441725332,8c26bc42-74f4-11ed-9ddf-0242ac1c000c
9,a69bb85c-74f4-11ed-8c78-0242ac1c000c,620677692,8c26bcce-74f4-11ed-9ddf-0242ac1c000c
10,a69bb924-74f4-11ed-8c78-0242ac1c000c,853805556,8c26bd46-74f4-11ed-9ddf-0242ac1c000c
11,a69bb9ec-74f4-11ed-8c78-0242ac1c000c,373771723,8c26bdbe-74f4-11ed-9ddf-0242ac1c000c
12,a69bbaaa-74f4-11ed-8c78-0242ac1c000c,2487454822,8c26be36-74f4-11ed-9ddf-0242ac1c000c
13,a69bbb7c-74f4-11ed-8c78-0242ac1c000c,286513171,8c26beae-74f4-11ed-9ddf-0242ac1c000c
14,a69bbc4e-74f4-11ed-8c78-0242ac1c000c,2401952576,8c26bf1c-74f4-11ed-9ddf-0242ac1c000c
15,a69bbd16-74f4-11ed-8c78-0242ac1c000c,1077861199,8c26bf94-74f4-11ed-9ddf-0242ac1c000c
16,a69bbdd4-74f4-11ed-8c78-0242ac1c000c,381474118,8c26c002-74f4-11ed-9ddf-0242ac1c000c
17,a69bbe9c-74f4-11ed-8c78-0242ac1c000c,2313828667,8c26c07a-74f4-11ed-9ddf-0242ac1c000c
18,a69bbf5a-74f4-11ed-8c78-0242ac1c000c,1541003735,8c26c0f2-74f4-11ed-9ddf-0242ac1c000c
19,a69bc022-74f4-11ed-8c78-0242ac1c000c,2273290400,8c26c160-74f4-11ed-9ddf-0242ac1c000c
20,a69bc0d6-74f4-11ed-8c78-0242ac1c000c,888969435,8c26c1e2-74f4-11ed-9ddf-0242ac1c000c
21,a69bc19e-74f4-11ed-8c78-0242ac1c000c,1864072627,8c26c25a-74f4-11ed-9ddf-0242ac1c000c
22,a69bc252-74f4-11ed-8c78-0242ac1c000c,1471304968,8c26c2d2-74f4-11ed-9ddf-0242ac1c000c
23,a69bc310-74f4-11ed-8c78-0242ac1c000c,288099631,8c26c34a-74f4-11ed-9ddf-0242ac1c000c
24,a69bc3ce-74f4-11ed-8c78-0242ac1c000c,692761306,8c26c3b8-74f4-11ed-9ddf-0242ac1c000c
25,a69bc496-74f4-11ed-8c78-0242ac1c000c,1801326030,8c26c426-74f4-11ed-9ddf-0242ac1c000c
26,a69bc568-74f4-11ed-8c78-0242ac1c000c,1839199889,8c26c4a8-74f4-11ed-9ddf-0242ac1c000c
27,a69bc630-74f4-11ed-8c78-0242ac1c000c,1727341716,8c26c516-74f4-11ed-9ddf-0242ac1c000c
28,a69bc6f8-74f4-11ed-8c78-0242ac1c000c,468978914,8c26c598-74f4-11ed-9ddf-0242ac1c000c
29,a69bc7b6-74f4-11ed-8c78-0242ac1c000c,228573348,8c26c606-74f4-11ed-9ddf-0242ac1c000c
30,a69bc914-74f4-11ed-8c78-0242ac1c000c,1794304811,8c26c67e-74f4-11ed-9ddf-0242ac1c000c
31,a69c11a8-74f4-11ed-8c78-0242ac1c000c,631000669,8c26c6ec-74f4-11ed-9ddf-0242ac1c000c
32,a69c1478-74f4-11ed-8c78-0242ac1c000c,1121218881,8c26c764-74f4-11ed-9ddf-0242ac1c000c
33,a69c1590-74f4-11ed-8c78-0242ac1c000c,679555258,8c26c7dc-74f4-11ed-9ddf-0242ac1c000c
