,Id_Pos,Id_Exa,Id_Car,Id_Us,CC_As,Id_Para
0,97439e36-74f6-11ed-a0be-0242ac1c000c,8c26b4f4-74f4-11ed-9ddf-0242ac1c000c,30f7ab38-74f4-11ed-9ec6-0242ac1c000c,a69bade4-74f4-11ed-8c78-0242ac1c000c,445006337,0aaa5702-74f7-11ed-86c4-0242ac1c000c
1,9743a0f2-74f6-11ed-a0be-0242ac1c000c,8c26b706-74f4-11ed-9ddf-0242ac1c000c,30f7b4ca-74f4-11ed-9ec6-0242ac1c000c,a69bb186-74f4-11ed-8c78-0242ac1c000c,1773488835,0aaa5996-74f7-11ed-86c4-0242ac1c000c
2,9743a192-74f6-11ed-a0be-0242ac1c000c,8c26b7a6-74f4-11ed-9ddf-0242ac1c000c,30f7b632-74f4-11ed-9ec6-0242ac1c000c,a69bb29e-74f4-11ed-8c78-0242ac1c000c,916661348,0aaa5a7c-74f7-11ed-86c4-0242ac1c000c
3,9743a200-74f6-11ed-a0be-0242ac1c000c,8c26b832-74f4-11ed-9ddf-0242ac1c000c,30f7b704-74f4-11ed-9ec6-0242ac1c000c,a69bb384-74f4-11ed-8c78-0242ac1c000c,221233654,0aaa5ba8-74f7-11ed-86c4-0242ac1c000c
4,9743a26e-74f6-11ed-a0be-0242ac1c000c,8c26b8b4-74f4-11ed-9ddf-0242ac1c000c,30f7b8c6-74f4-11ed-9ec6-0242ac1c000c,a69bb456-74f4-11ed-8c78-0242ac1c000c,285946442,0aaa5c66-74f7-11ed-86c4-0242ac1c000c
5,9743a2dc-74f6-11ed-a0be-0242ac1c000c,8c26b92c-74f4-11ed-9ddf-0242ac1c000c,30f7b998-74f4-11ed-9ec6-0242ac1c000c,a69bb532-74f4-11ed-8c78-0242ac1c000c,2467225654,0aaa5d1a-74f7-11ed-86c4-0242ac1c000c
6,9743a340-74f6-11ed-a0be-0242ac1c000c,8c26b9ae-74f4-11ed-9ddf-0242ac1c000c,30f7ba4c-74f4-11ed-9ec6-0242ac1c000c,a69bb60e-74f4-11ed-8c78-0242ac1c000c,2402181943,0aaa5dc4-74f7-11ed-86c4-0242ac1c000c
7,9743a3a4-74f6-11ed-a0be-0242ac1c000c,8c26bb70-74f4-11ed-9ddf-0242ac1c000c,30f7bb5a-74f4-11ed-9ec6-0242ac1c000c,a69bb6cc-74f4-11ed-8c78-0242ac1c000c,1679675850,0aaa5e64-74f7-11ed-86c4-0242ac1c000c
8,9743a3fe-74f6-11ed-a0be-0242ac1c000c,8c26bc42-74f4-11ed-9ddf-0242ac1c000c,30f7bc22-74f4-11ed-9ec6-0242ac1c000c,a69bb78a-74f4-11ed-8c78-0242ac1c000c,2441725332,0aaa5f04-74f7-11ed-86c4-0242ac1c000c
9,9743a462-74f6-11ed-a0be-0242ac1c000c,8c26bcce-74f4-11ed-9ddf-0242ac1c000c,30f7bcd6-74f4-11ed-9ec6-0242ac1c000c,a69bb85c-74f4-11ed-8c78-0242ac1c000c,620677692,0aaa5fa4-74f7-11ed-86c4-0242ac1c000c
10,9743a4c6-74f6-11ed-a0be-0242ac1c000c,8c26bd46-74f4-11ed-9ddf-0242ac1c000c,30f7bd80-74f4-11ed-9ec6-0242ac1c000c,a69bb924-74f4-11ed-8c78-0242ac1c000c,853805556,0aaa6044-74f7-11ed-86c4-0242ac1c000c
11,9743a534-74f6-11ed-a0be-0242ac1c000c,8c26bdbe-74f4-11ed-9ddf-0242ac1c000c,30f7be2a-74f4-11ed-9ec6-0242ac1c000c,a69bb9ec-74f4-11ed-8c78-0242ac1c000c,373771723,0aaa60ee-74f7-11ed-86c4-0242ac1c000c
